200 ,    2, 2,
200 ,    1, 2,
200 ,    4, 2,
50  ,    1, 2,
800 ,    4, 2,
200 ,    2, 2,
200 ,    2, 2,
400 ,    2, 2,
800 ,    4, 2,
1200,    3, 2,
400 ,    2, 2,
200 ,    4, 2,
400 ,    2, 2,
50  ,    1, 1,
150 ,    3, 1,
200 ,    1, 2,
100 ,    1, 2,
600 ,    4, 1,
100 ,    2, 2,
400 ,    4, 2,
800 ,    4, 2,
200 ,    4, 2,
400 ,    2, 2,
200 ,    2, 2,
200 ,    2, 2,
250 ,    1, 1,
50  ,    1, 2,
100 ,    1, 1,
200 ,    1, 2,
200 ,    1, 2,
50  ,    1, 2,
25  ,    1, 2,
50  ,    1, 2,
200 ,    2, 1,
34  ,    1, 1,
50  ,    1, 1,
600 ,    3, 2,
300 ,    4, 2,
200 ,    1, 2,
200 ,    1, 2,
400 ,    2, 2,
200 ,    1, 2,
100 ,    1, 2,
50  ,    4, 1,
400 ,    2, 2,
100 ,    1, 2,
75  ,    1, 1,
400 ,    4, 2,
200 ,    2, 2,
200 ,    1, 2,
200 ,    4, 2,
200 ,    1, 2,
100 ,    1, 2,
800 ,    4, 2,
50  ,    2, 2,
300 ,    3, 2,
100 ,    2, 2,
50  ,    1, 2,
50  ,    1, 2,
200 ,    4, 2,
4000,    2, 2,
400 ,    2, 2,
1200,    2, 2,
300 ,    3, 1,
100 ,    2, 2,
50  ,    1 2
