{impressions:100 ,    colors:2, sides:2,},
{impressions:200 ,    colors:1, sides:2,},
{impressions:200 ,    colors:1, sides:1,},
{impressions:100 ,    colors:1, sides:1,},
{impressions:100 ,    colors:1, sides:2,},
{impressions:100 ,    colors:1, sides:2,},
{impressions:100 ,    colors:1, sides:2,},
{impressions:75  ,    colors:1, sides:1,},
{impressions:50  ,    colors:1, sides:2,},
{impressions:50  ,    colors:1, sides:2,},
{impressions:100 ,    colors:1, sides:2,},
{impressions:100 ,    colors:1, sides:2,},
{impressions:25  ,    colors:1, sides:2,},
{impressions:200 ,    colors:1, sides:2,},
{impressions:25  ,    colors:1, sides:1,},
{impressions:50  ,    colors:1, sides:1,},
{impressions:50  ,    colors:1, sides:1,},
{impressions:400 ,    colors:4, sides:2,},
{impressions:320 ,    colors:4, sides:2,},
{impressions:100 ,    colors:4, sides:2,},
{impressions:200 ,    colors:4, sides:2,},
{impressions:200 ,    colors:4, sides:2,},
{impressions:100 ,    colors:4, sides:2,},
{impressions:400 ,    colors:4, sides:2,},
{impressions:25  ,    colors:1, sides:1,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:100 ,    colors:2, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:800 ,    colors:4, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:300 ,    colors:3, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:800 ,    colors:4, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:150 ,    colors:3, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:200 ,    colors:4, sides:2,},
{impressions:200 ,    colors:4, sides:2,},
{impressions:100 ,    colors:1, sides:1,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:400 ,    colors:2, sides:1,},
{impressions:1000,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:100 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:200 ,    colors:1, sides:2,},
{impressions:800 ,    colors:2, sides:2,},
{impressions:200 ,    colors:2, sides:2,},
{impressions:400 ,    colors:2, sides:2,},
{impressions:200 ,    colors:4, sides:2,},
{impressions:400 ,    colors:4, sides:2,},
{impressions:400 ,    colors:2, sides:2,}
